County,Center Name,Peer Service Coordinator,Coverage Area,Phone Number,Email,Address,City,Zip Code,Longitude/Latitude,Location URL
King,Helen Farabee Centers,Elliot Bonner,Wichita Falls,(940)397-3315,bonnere@helenfarabee.org,500 Broad St - Wichita Falls,Wichita Falls,76307,"33.910537120090886, -98.50178803115115",https://goo.gl/maps/DYxkV1st2VQVRCUJ8
Knox,Helen Farabee Centers,Elliot Bonner,Wichita Falls,(940)397-3315,bonnere@helenfarabee.org,500 Broad St - Wichita Falls,Wichita Falls,76307,"33.910537120090886, -98.50178803115115",https://goo.gl/maps/DYxkV1st2VQVRCUJ8
Montague,Helen Farabee Centers,Elliot Bonner,Wichita Falls,(940)397-3315,bonnere@helenfarabee.org,500 Broad St - Wichita Falls,Wichita Falls,76307,"33.910537120090886, -98.50178803115115",https://goo.gl/maps/DYxkV1st2VQVRCUJ8
Stonewall,Helen Farabee Centers,Elliot Bonner,Wichita Falls,(940)397-3315,bonnere@helenfarabee.org,500 Broad St - Wichita Falls,Wichita Falls,76307,"33.910537120090886, -98.50178803115115",https://goo.gl/maps/DYxkV1st2VQVRCUJ8
Throckmorton,Helen Farabee Centers,Elliot Bonner,Wichita Falls,(940)397-3315,bonnere@helenfarabee.org,500 Broad St - Wichita Falls,Wichita Falls,76307,"33.910537120090886, -98.50178803115115",https://goo.gl/maps/DYxkV1st2VQVRCUJ8
Wichita,Helen Farabee Centers,Elliot Bonner,Wichita Falls,(940)397-3315,bonnere@helenfarabee.org,500 Broad St - Wichita Falls,Wichita Falls,76307,"33.910537120090886, -98.50178803115115",https://goo.gl/maps/DYxkV1st2VQVRCUJ8
Wilbarger,Helen Farabee Centers,Elliot Bonner,Wichita Falls,(940)397-3315,bonnere@helenfarabee.org,500 Broad St - Wichita Falls,Wichita Falls,76307,"33.910537120090886, -98.50178803115115",https://goo.gl/maps/DYxkV1st2VQVRCUJ8
Wise,Helen Farabee Centers,Elliot Bonner,Wichita Falls,(940)397-3315,bonnere@helenfarabee.org,500 Broad St - Wichita Falls,Wichita Falls,76307,"33.910537120090886, -98.50178803115115",https://goo.gl/maps/DYxkV1st2VQVRCUJ8
Young,Helen Farabee Centers,Elliot Bonner,Wichita Falls,(940)397-3315,bonnere@helenfarabee.org,500 Broad St - Wichita Falls,Wichita Falls,76307,"33.910537120090886, -98.50178803115115",https://goo.gl/maps/DYxkV1st2VQVRCUJ8
Bandera,Hill Country Mental Health & Developmental Disabilities Centers,Michael Fogerty,San Marcos,512-392-7155 Ext:1297,michael6552@hillcountry.org,"1921 Corporate Drive, Suite 103 - San Marcos",San Marcos,78666,"29.86396933398943, -97.95821137358028",https://goo.gl/maps/GqkG1Cip8kAQHJUb6
Blanco,Hill Country Mental Health & Developmental Disabilities Centers,Michael Fogerty,San Marcos,512-392-7155 Ext:1297,michael6552@hillcountry.org,"1921 Corporate Drive, Suite 103 - San Marcos",San Marcos,78666,"29.86396933398943, -97.95821137358028",https://goo.gl/maps/GqkG1Cip8kAQHJUb6
Comal,Hill Country Mental Health & Developmental Disabilities Centers,Michael Fogerty,San Marcos,512-392-7155 Ext:1297,michael6552@hillcountry.org,"1921 Corporate Drive, Suite 103 - San Marcos",San Marcos,78666,"29.86396933398943, -97.95821137358028",https://goo.gl/maps/GqkG1Cip8kAQHJUb6
Edwards,Hill Country Mental Health & Developmental Disabilities Centers,Michael Fogerty,San Marcos,512-392-7155 Ext:1297,michael6552@hillcountry.org,"1921 Corporate Drive, Suite 103 - San Marcos",San Marcos,78666,"29.86396933398943, -97.95821137358028",https://goo.gl/maps/GqkG1Cip8kAQHJUb6
Gillespie,Hill Country Mental Health & Developmental Disabilities Centers,Michael Fogerty,San Marcos,512-392-7155 Ext:1297,michael6552@hillcountry.org,"1921 Corporate Drive, Suite 103 - San Marcos",San Marcos,78666,"29.86396933398943, -97.95821137358028",https://goo.gl/maps/GqkG1Cip8kAQHJUb6
Hays,Hill Country Mental Health & Developmental Disabilities Centers,Michael Fogerty,San Marcos,512-392-7155 Ext:1297,michael6552@hillcountry.org,"1921 Corporate Drive, Suite 103 - San Marcos",San Marcos,78666,"29.86396933398943, -97.95821137358028",https://goo.gl/maps/GqkG1Cip8kAQHJUb6
Kendall,Hill Country Mental Health & Developmental Disabilities Centers,Michael Fogerty,San Marcos,512-392-7155 Ext:1297,michael6552@hillcountry.org,"1921 Corporate Drive, Suite 103 - San Marcos",San Marcos,78666,"29.86396933398943, -97.95821137358028",https://goo.gl/maps/GqkG1Cip8kAQHJUb6
Kerr,Hill Country Mental Health & Developmental Disabilities Centers,Michael Fogerty,San Marcos,512-392-7155 Ext:1297,michael6552@hillcountry.org,"1921 Corporate Drive, Suite 103 - San Marcos",San Marcos,78666,"29.86396933398943, -97.95821137358028",https://goo.gl/maps/GqkG1Cip8kAQHJUb6
Kimble,Hill Country Mental Health & Developmental Disabilities Centers,Michael Fogerty,San Marcos,512-392-7155 Ext:1297,michael6552@hillcountry.org,"1921 Corporate Drive, Suite 103 - San Marcos",San Marcos,78666,"29.86396933398943, -97.95821137358028",https://goo.gl/maps/GqkG1Cip8kAQHJUb6
Kinney,Hill Country Mental Health & Developmental Disabilities Centers,Michael Fogerty,San Marcos,512-392-7155 Ext:1297,michael6552@hillcountry.org,"1921 Corporate Drive, Suite 103 - San Marcos",San Marcos,78666,"29.86396933398943, -97.95821137358028",https://goo.gl/maps/GqkG1Cip8kAQHJUb6
Llano,Hill Country Mental Health & Developmental Disabilities Centers,Michael Fogerty,San Marcos,512-392-7155 Ext:1297,michael6552@hillcountry.org,"1921 Corporate Drive, Suite 103 - San Marcos",San Marcos,78666,"29.86396933398943, -97.95821137358028",https://goo.gl/maps/GqkG1Cip8kAQHJUb6
Mason,Hill Country Mental Health & Developmental Disabilities Centers,Michael Fogerty,San Marcos,512-392-7155 Ext:1297,michael6552@hillcountry.org,"1921 Corporate Drive, Suite 103 - San Marcos",San Marcos,78666,"29.86396933398943, -97.95821137358028",https://goo.gl/maps/GqkG1Cip8kAQHJUb6
Medina,Hill Country Mental Health & Developmental Disabilities Centers,Michael Fogerty,San Marcos,512-392-7155 Ext:1297,michael6552@hillcountry.org,"1921 Corporate Drive, Suite 103 - San Marcos",San Marcos,78666,"29.86396933398943, -97.95821137358028",https://goo.gl/maps/GqkG1Cip8kAQHJUb6
Menard,Hill Country Mental Health & Developmental Disabilities Centers,Michael Fogerty,San Marcos,512-392-7155 Ext:1297,michael6552@hillcountry.org,"1921 Corporate Drive, Suite 103 - San Marcos",San Marcos,78666,"29.86396933398943, -97.95821137358028",https://goo.gl/maps/GqkG1Cip8kAQHJUb6
Real,Hill Country Mental Health & Developmental Disabilities Centers,Michael Fogerty,San Marcos,512-392-7155 Ext:1297,michael6552@hillcountry.org,"1921 Corporate Drive, Suite 103 - San Marcos",San Marcos,78666,"29.86396933398943, -97.95821137358028",https://goo.gl/maps/GqkG1Cip8kAQHJUb6
Schleicher,Hill Country Mental Health & Developmental Disabilities Centers,Michael Fogerty,San Marcos,512-392-7155 Ext:1297,michael6552@hillcountry.org,"1921 Corporate Drive, Suite 103 - San Marcos",San Marcos,78666,"29.86396933398943, -97.95821137358028",https://goo.gl/maps/GqkG1Cip8kAQHJUb6
Sutton,Hill Country Mental Health & Developmental Disabilities Centers,Michael Fogerty,San Marcos,512-392-7155 Ext:1297,michael6552@hillcountry.org,"1921 Corporate Drive, Suite 103 - San Marcos",San Marcos,78666,"29.86396933398943, -97.95821137358028",https://goo.gl/maps/GqkG1Cip8kAQHJUb6
Uvalde,Hill Country Mental Health & Developmental Disabilities Centers,Michael Fogerty,San Marcos,512-392-7155 Ext:1297,michael6552@hillcountry.org,"1921 Corporate Drive, Suite 103 - San Marcos",San Marcos,78666,"29.86396933398943, -97.95821137358028",https://goo.gl/maps/GqkG1Cip8kAQHJUb6
Val Verde,Hill Country Mental Health & Developmental Disabilities Centers,Michael Fogerty,San Marcos,512-392-7155 Ext:1297,michael6552@hillcountry.org,"1921 Corporate Drive, Suite 103 - San Marcos",San Marcos,78666,"29.86396933398943, -97.95821137358028",https://goo.gl/maps/GqkG1Cip8kAQHJUb6
Camp,Lakes Regional Community Center,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"33.65658836811385, -95.5360893423145",
Delta,Lakes Regional Community Center,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"33.65658836811385, -95.5360893423145",
Ellis,Lakes Regional Community Center,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"33.65658836811385, -95.5360893423145",
Franklin,Lakes Regional Community Center,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"33.65658836811385, -95.5360893423145",
Hopkins,Lakes Regional Community Center,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"33.65658836811385, -95.5360893423145",
Hunt,Lakes Regional Community Center,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"33.65658836811385, -95.5360893423145",
Kaufman,Lakes Regional Community Center,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"33.65658836811385, -95.5360893423145",
Lamar,Lakes Regional Community Center,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"33.65658836811385, -95.5360893423145",
Morris,Lakes Regional Community Center,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"33.65658836811385, -95.5360893423145",
Navarro,Lakes Regional Community Center,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"33.65658836811385, -95.5360893423145",
Rockwall,Lakes Regional Community Center,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"33.65658836811385, -95.5360893423145",
Titus,Lakes Regional Community Center,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"33.65658836811385, -95.5360893423145",
Collin,LifePath Systems,Jackey Babb,Collin County,(972)562-0190,jbabb@lifepathsystems.org,P.O. Box 828 - McKinney,McKinney,75070,"33.20188222416654, -96.54057299911307",https://goo.gl/maps/svTg1QfTmWLgjrzC9
Dallas,Metrocare Services,Domingo Rodriguez,Dallas,(805)302-9494,domingo.rodriguez@metrocareservices.org,16160 Midway Road - Dallas,Dallas,75247,"32.96972710679211, -96.8417689311755",https://goo.gl/maps/HxFoCbCCUG44EP4z9
Brazos,MHMR Authority of Brazos Valley,Patrick Baca,Brazos Valley,(979)417-8215,BrazosValley.MVPN@gmail.com,"2710 Finfeather, Cooper Case Office Park, Suite DII-103 - Bryan",Bryan,77801,"30.64018813964348, -96.37185616006883",https://goo.gl/maps/DVYpVPmrgR3hJc8C9
Burleson,MHMR Authority of Brazos Valley,Patrick Baca,Brazos Valley,(979)417-8215,BrazosValley.MVPN@gmail.com,"2710 Finfeather, Cooper Case Office Park, Suite DII-103 - Bryan",Bryan,77801,"30.64018813964348, -96.37185616006883",https://goo.gl/maps/DVYpVPmrgR3hJc8C9
Grimes,MHMR Authority of Brazos Valley,Patrick Baca,Brazos Valley,(979)417-8215,BrazosValley.MVPN@gmail.com,"2710 Finfeather, Cooper Case Office Park, Suite DII-103 - Bryan",Bryan,77801,"30.64018813964348, -96.37185616006883",https://goo.gl/maps/DVYpVPmrgR3hJc8C9
Leon,MHMR Authority of Brazos Valley,Patrick Baca,Brazos Valley,(979)417-8215,BrazosValley.MVPN@gmail.com,"2710 Finfeather, Cooper Case Office Park, Suite DII-103 - Bryan",Bryan,77801,"30.64018813964348, -96.37185616006883",https://goo.gl/maps/DVYpVPmrgR3hJc8C9
Madison,MHMR Authority of Brazos Valley,Patrick Baca,Brazos Valley,(979)417-8215,BrazosValley.MVPN@gmail.com,"2710 Finfeather, Cooper Case Office Park, Suite DII-103 - Bryan",Bryan,77801,"30.64018813964348, -96.37185616006883",https://goo.gl/maps/DVYpVPmrgR3hJc8C9
Robertson,MHMR Authority of Brazos Valley,Patrick Baca,Brazos Valley,(979)417-8215,BrazosValley.MVPN@gmail.com,"2710 Finfeather, Cooper Case Office Park, Suite DII-103 - Bryan",Bryan,77801,"30.64018813964348, -96.37185616006883",https://goo.gl/maps/DVYpVPmrgR3hJc8C9
Washington,MHMR Authority of Brazos Valley,Patrick Baca,Brazos Valley,(979)417-8215,BrazosValley.MVPN@gmail.com,"2710 Finfeather, Cooper Case Office Park, Suite DII-103 - Bryan",Bryan,77801,"30.64018813964348, -96.37185616006883",https://goo.gl/maps/DVYpVPmrgR3hJc8C9
Harris,MHMR Authority of Harris County,Edward Howard,Houston,(832)449-8127,ehoward@mhahouston.org,"2211 Norfolk, Suite 810 - Houston",Houston,77098,"29.732362534080433, -95.41333477358333",https://goo.gl/maps/evoeF9gdPhfw2Uw97
Coke,MHMR Services for the Concho Valley,Richard Rodriguez,Concho Valley,(325)812-5241,rrodriguez@mhmrcv.org,"36 Etworth, Suite 600",San Angelo,76903,"31.454976325086005, -100.45650868888474",https://goo.gl/maps/EUzpRZW7Y5iD7zuWA
Concho,MHMR Services for the Concho Valley,Richard Rodriguez,Concho Valley,(325)812-5241,rrodriguez@mhmrcv.org,"36 Etworth, Suite 600",San Angelo,76903,"31.454976325086005, -100.45650868888474",https://goo.gl/maps/EUzpRZW7Y5iD7zuWA
Crockett,MHMR Services for the Concho Valley,Richard Rodriguez,Concho Valley,(325)812-5241,rrodriguez@mhmrcv.org,"36 Etworth, Suite 600",San Angelo,76903,"31.454976325086005, -100.45650868888474",https://goo.gl/maps/EUzpRZW7Y5iD7zuWA
Irion,MHMR Services for the Concho Valley,Richard Rodriguez,Concho Valley,(325)812-5241,rrodriguez@mhmrcv.org,"36 Etworth, Suite 600",San Angelo,76903,"31.454976325086005, -100.45650868888474",https://goo.gl/maps/EUzpRZW7Y5iD7zuWA
Reagan,MHMR Services for the Concho Valley,Richard Rodriguez,Concho Valley,(325)812-5241,rrodriguez@mhmrcv.org,"36 Etworth, Suite 600",San Angelo,76903,"31.454976325086005, -100.45650868888474",https://goo.gl/maps/EUzpRZW7Y5iD7zuWA
Sterling,MHMR Services for the Concho Valley,Richard Rodriguez,Concho Valley,(325)812-5241,rrodriguez@mhmrcv.org,"36 Etworth, Suite 600",San Angelo,76903,"31.454976325086005, -100.45650868888474",https://goo.gl/maps/EUzpRZW7Y5iD7zuWA
Tom Green,MHMR Services for the Concho Valley,Richard Rodriguez,Concho Valley,(325)812-5241,rrodriguez@mhmrcv.org,"36 Etworth, Suite 600",San Angelo,76903,"31.454976325086005, -100.45650868888474",https://goo.gl/maps/EUzpRZW7Y5iD7zuWA
Tarrant,MHMR Tarrant,LaJohn McDonald,Fort Worth,(817)266-7507,lajohn.mcdonaldjr@mhmrtc.org,129 Harmon Road - Hurst,Hurst,76053,"32.810917702477084, -97.1732382446726",https://goo.gl/maps/6D87j6YRxzCSRyd28
Erath,Pecan Valley Centers for Behavioral & Developmental HealthCare,Zachary Crawford,Pecan Valley,(817)736-6089,zcrawford@pecanvalley.org,2101 W. Pearl Street - Granbury,Granbury,76048,"32.43826972428891, -97.8098903735177",https://goo.gl/maps/Fwu38DS3TmJh9Ngv9
Hood,Pecan Valley Centers for Behavioral & Developmental HealthCare,Zachary Crawford,Pecan Valley,(817)736-6089,zcrawford@pecanvalley.org,2101 W. Pearl Street - Granbury,Granbury,76048,"32.43826972428891, -97.8098903735177",https://goo.gl/maps/Fwu38DS3TmJh9Ngv9
Johnson,Pecan Valley Centers for Behavioral & Developmental HealthCare,Zachary Crawford,Pecan Valley,(817)736-6089,zcrawford@pecanvalley.org,2101 W. Pearl Street - Granbury,Granbury,76048,"32.43826972428891, -97.8098903735177",https://goo.gl/maps/Fwu38DS3TmJh9Ngv9
Palo Pinto,Pecan Valley Centers for Behavioral & Developmental HealthCare,Zachary Crawford,Pecan Valley,(817)736-6089,zcrawford@pecanvalley.org,2101 W. Pearl Street - Granbury,Granbury,76048,"32.43826972428891, -97.8098903735177",https://goo.gl/maps/Fwu38DS3TmJh9Ngv9
Parker,Pecan Valley Centers for Behavioral & Developmental HealthCare,Zachary Crawford,Pecan Valley,(817)736-6089,zcrawford@pecanvalley.org,2101 W. Pearl Street - Granbury,Granbury,76048,"32.43826972428891, -97.8098903735177",https://goo.gl/maps/Fwu38DS3TmJh9Ngv9
Somervell,Pecan Valley Centers for Behavioral & Developmental HealthCare,Zachary Crawford,Pecan Valley,(817)736-6089,zcrawford@pecanvalley.org,2101 W. Pearl Street - Granbury,Granbury,76048,"32.43826972428891, -97.8098903735177",https://goo.gl/maps/Fwu38DS3TmJh9Ngv9
Brewster,Permian Basin Community Centers for MHMR,Jayni Whitefield,Midland/Odessa,432-556-5835,jayniwhitefield@permiacare.org,401 E. Illinois - Midland,Midland,79701,"32.00037179407111, -102.07046596003559",https://goo.gl/maps/GJQ4ZAp1kFYnhQVm6
Culberson,Permian Basin Community Centers for MHMR,Jayni Whitefield,Midland/Odessa,432-556-5835,jayniwhitefield@permiacare.org,401 E. Illinois - Midland,Midland,79701,"32.00037179407111, -102.07046596003559",https://goo.gl/maps/GJQ4ZAp1kFYnhQVm6
Ector,Permian Basin Community Centers for MHMR,Jayni Whitefield,Midland/Odessa,432-556-5835,jayniwhitefield@permiacare.org,401 E. Illinois - Midland,Midland,79701,"32.00037179407111, -102.07046596003559",https://goo.gl/maps/GJQ4ZAp1kFYnhQVm6
Hudspeth,Permian Basin Community Centers for MHMR,Jayni Whitefield,Midland/Odessa,432-556-5835,jayniwhitefield@permiacare.org,401 E. Illinois - Midland,Midland,79701,"32.00037179407111, -102.07046596003559",https://goo.gl/maps/GJQ4ZAp1kFYnhQVm6
Jeff Davis,Permian Basin Community Centers for MHMR,Jayni Whitefield,Midland/Odessa,432-556-5835,jayniwhitefield@permiacare.org,401 E. Illinois - Midland,Midland,79701,"32.00037179407111, -102.07046596003559",https://goo.gl/maps/GJQ4ZAp1kFYnhQVm6
Midland,Permian Basin Community Centers for MHMR,Jayni Whitefield,Midland/Odessa,432-556-5835,jayniwhitefield@permiacare.org,401 E. Illinois - Midland,Midland,79701,"32.00037179407111, -102.07046596003559",https://goo.gl/maps/GJQ4ZAp1kFYnhQVm6
Pecos,Permian Basin Community Centers for MHMR,Jayni Whitefield,Midland/Odessa,432-556-5835,jayniwhitefield@permiacare.org,401 E. Illinois - Midland,Midland,79701,"32.00037179407111, -102.07046596003559",https://goo.gl/maps/GJQ4ZAp1kFYnhQVm6
Presidio,Permian Basin Community Centers for MHMR,Jayni Whitefield,Midland/Odessa,432-556-5835,jayniwhitefield@permiacare.org,401 E. Illinois - Midland,Midland,79701,"32.00037179407111, -102.07046596003559",https://goo.gl/maps/GJQ4ZAp1kFYnhQVm6
Chambers,Spindletop Center,Robert Adair,Beaumont,409-540-0649,robert.adair@stctr.org,"2750 S. 8th Street, Bldg A - Beaumont",Beaumont,77701,"30.058404802443782, -94.12641346008262",https://goo.gl/maps/5mSbXUi49wxM5VmWA
Hardin,Spindletop Center,Robert Adair,Beaumont,409-540-0649,robert.adair@stctr.org,"2750 S. 8th Street, Bldg A - Beaumont",Beaumont,77701,"30.058404802443782, -94.12641346008262",https://goo.gl/maps/5mSbXUi49wxM5VmWA
Jefferson,Spindletop Center,Robert Adair,Beaumont,409-540-0649,robert.adair@stctr.org,"2750 S. 8th Street, Bldg A - Beaumont",Beaumont,77701,"30.058404802443782, -94.12641346008262",https://goo.gl/maps/5mSbXUi49wxM5VmWA
Orange,Spindletop Center,Robert Adair,Beaumont,409-540-0649,robert.adair@stctr.org,"2750 S. 8th Street, Bldg A - Beaumont",Beaumont,77701,"30.058404802443782, -94.12641346008262",https://goo.gl/maps/5mSbXUi49wxM5VmWA
Cochran,StarCare Specialty Health System,Andrew Gilpin,Lubbock,(806)470-9317,agilpin@vetstar.org,3804 I-27 and 38th Street - Lubbock,Lubbock,79403,"33.5621730157515, -101.84520967348897",https://goo.gl/maps/85aM64tjgCXU3moY7
Crosby,StarCare Specialty Health System,Andrew Gilpin,Lubbock,(806)470-9317,agilpin@vetstar.org,3804 I-27 and 38th Street - Lubbock,Lubbock,79403,"33.5621730157515, -101.84520967348897",https://goo.gl/maps/85aM64tjgCXU3moY7
Hockley,StarCare Specialty Health System,Andrew Gilpin,Lubbock,(806)470-9317,agilpin@vetstar.org,3804 I-27 and 38th Street - Lubbock,Lubbock,79403,"33.5621730157515, -101.84520967348897",https://goo.gl/maps/85aM64tjgCXU3moY7
Lubbock,StarCare Specialty Health System,Andrew Gilpin,Lubbock,(806)470-9317,agilpin@vetstar.org,3804 I-27 and 38th Street - Lubbock,Lubbock,79403,"33.5621730157515, -101.84520967348897",https://goo.gl/maps/85aM64tjgCXU3moY7
Lynn,StarCare Specialty Health System,Andrew Gilpin,Lubbock,(806)470-9317,agilpin@vetstar.org,3804 I-27 and 38th Street - Lubbock,Lubbock,79403,"33.5621730157515, -101.84520967348897",https://goo.gl/maps/85aM64tjgCXU3moY7
Austin,Texana Center,N/A,N/A,N/A,N/A,N/A,N/A,77457,"28.681800891390107, -96.03734056953611",
Colorado,Texana Center,N/A,N/A,N/A,N/A,N/A,N/A,77457,"28.681800891390107, -96.03734056953611",
Fort Bend,Texana Center,N/A,N/A,N/A,N/A,N/A,N/A,77457,"28.681800891390107, -96.03734056953611",
Matagorda,Texana Center,N/A,N/A,N/A,N/A,N/A,N/A,77457,"28.681800891390107, -96.03734056953611",
Waller,Texana Center,N/A,N/A,N/A,N/A,N/A,N/A,77457,"28.681800891390107, -96.03734056953611",
Wharton,Texana Center,N/A,N/A,N/A,N/A,N/A,N/A,77457,"28.681800891390107, -96.03734056953611",
Armstrong,Texas Panhandle Centers,Tousha Barnessss,Amarillo,(806)341-0581,tousha.barnes@txpan.org,1001 N. South Plk - Amarillo,Amarillo,79101,"35.2035534630252, -101.83765590228104",https://goo.gl/maps/QD8saceLXyA1DEAD7
Carson,Texas Panhandle Centers,Tousha Barnes,Amarillo,(806)341-0581,tousha.barnes@txpan.org,1001 N. South Plk - Amarillo,Amarillo,79101,"35.2035534630252, -101.83765590228104",https://goo.gl/maps/QD8saceLXyA1DEAD7
Collingsworth,Texas Panhandle Centers,Tousha Barnes,Amarillo,(806)341-0581,tousha.barnes@txpan.org,1001 N. South Plk - Amarillo,Amarillo,79101,"35.2035534630252, -101.83765590228104",https://goo.gl/maps/QD8saceLXyA1DEAD7
Dallam,Texas Panhandle Centers,Tousha Barnes,Amarillo,(806)341-0581,tousha.barnes@txpan.org,1001 N. South Plk - Amarillo,Amarillo,79101,"35.2035534630252, -101.83765590228104",https://goo.gl/maps/QD8saceLXyA1DEAD7
Deaf Smith,Texas Panhandle Centers,Tousha Barnes,Amarillo,(806)341-0581,tousha.barnes@txpan.org,1001 N. South Plk - Amarillo,Amarillo,79101,"35.2035534630252, -101.83765590228104",https://goo.gl/maps/QD8saceLXyA1DEAD7
Donley,Texas Panhandle Centers,Tousha Barnes,Amarillo,(806)341-0581,tousha.barnes@txpan.org,1001 N. South Plk - Amarillo,Amarillo,79101,"35.2035534630252, -101.83765590228104",https://goo.gl/maps/QD8saceLXyA1DEAD7
Gray,Texas Panhandle Centers,Tousha Barnes,Amarillo,(806)341-0581,tousha.barnes@txpan.org,1001 N. South Plk - Amarillo,Amarillo,79101,"35.2035534630252, -101.83765590228104",https://goo.gl/maps/QD8saceLXyA1DEAD7
Hall,Texas Panhandle Centers,Tousha Barnes,Amarillo,(806)341-0581,tousha.barnes@txpan.org,1001 N. South Plk - Amarillo,Amarillo,79101,"35.2035534630252, -101.83765590228104",https://goo.gl/maps/QD8saceLXyA1DEAD7
Hansford,Texas Panhandle Centers,Tousha Barnes,Amarillo,(806)341-0581,tousha.barnes@txpan.org,1001 N. South Plk - Amarillo,Amarillo,79101,"35.2035534630252, -101.83765590228104",https://goo.gl/maps/QD8saceLXyA1DEAD7
Hartley,Texas Panhandle Centers,Tousha Barnes,Amarillo,(806)341-0581,tousha.barnes@txpan.org,1001 N. South Plk - Amarillo,Amarillo,79101,"35.2035534630252, -101.83765590228104",https://goo.gl/maps/QD8saceLXyA1DEAD7
Hemphill,Texas Panhandle Centers,Tousha Barnes,Amarillo,(806)341-0581,tousha.barnes@txpan.org,1001 N. South Plk - Amarillo,Amarillo,79101,"35.2035534630252, -101.83765590228104",https://goo.gl/maps/QD8saceLXyA1DEAD7
Hutchinson,Texas Panhandle Centers,Tousha Barnes,Amarillo,(806)341-0581,tousha.barnes@txpan.org,1001 N. South Plk - Amarillo,Amarillo,79101,"35.2035534630252, -101.83765590228104",https://goo.gl/maps/QD8saceLXyA1DEAD7
Lipscomb,Texas Panhandle Centers,Tousha Barnes,Amarillo,(806)341-0581,tousha.barnes@txpan.org,1001 N. South Plk - Amarillo,Amarillo,79101,"35.2035534630252, -101.83765590228104",https://goo.gl/maps/QD8saceLXyA1DEAD7
Moore,Texas Panhandle Centers,Tousha Barnes,Amarillo,(806)341-0581,tousha.barnes@txpan.org,1001 N. South Plk - Amarillo,Amarillo,79101,"35.2035534630252, -101.83765590228104",https://goo.gl/maps/QD8saceLXyA1DEAD7
Ochiltree,Texas Panhandle Centers,Tousha Barnes,Amarillo,(806)341-0581,tousha.barnes@txpan.org,1001 N. South Plk - Amarillo,Amarillo,79101,"35.2035534630252, -101.83765590228104",https://goo.gl/maps/QD8saceLXyA1DEAD7
Oldham,Texas Panhandle Centers,Tousha Barnes,Amarillo,(806)341-0581,tousha.barnes@txpan.org,1001 N. South Plk - Amarillo,Amarillo,79101,"35.2035534630252, -101.83765590228104",https://goo.gl/maps/QD8saceLXyA1DEAD7
Potter,Texas Panhandle Centers,Tousha Barnes,Amarillo,(806)341-0581,tousha.barnes@txpan.org,1001 N. South Plk - Amarillo,Amarillo,79101,"35.2035534630252, -101.83765590228104",https://goo.gl/maps/QD8saceLXyA1DEAD7
Randall,Texas Panhandle Centers,Tousha Barnes,Amarillo,(806)341-0581,tousha.barnes@txpan.org,1001 N. South Plk - Amarillo,Amarillo,79101,"35.2035534630252, -101.83765590228104",https://goo.gl/maps/QD8saceLXyA1DEAD7
Roberts,Texas Panhandle Centers,Tousha Barnes,Amarillo,(806)341-0581,tousha.barnes@txpan.org,1001 N. South Plk - Amarillo,Amarillo,79101,"35.2035534630252, -101.83765590228104",https://goo.gl/maps/QD8saceLXyA1DEAD7
Sherman,Texas Panhandle Centers,Tousha Barnes,Amarillo,(806)341-0581,tousha.barnes@txpan.org,1001 N. South Plk - Amarillo,Amarillo,79101,"35.2035534630252, -101.83765590228104",https://goo.gl/maps/QD8saceLXyA1DEAD7
Wheeler,Texas Panhandle Centers,Tousha Barnes,Amarillo,(806)341-0581,tousha.barnes@txpan.org,1001 N. South Plk - Amarillo,Amarillo,79101,"35.2035534630252, -101.83765590228104",https://goo.gl/maps/QD8saceLXyA1DEAD7
Cooke,Texoma Community Center,Position Available,Cooke-Fannin-Grayson,TBA,TBA,315 W. McClain - Sherman,Sherman,75093,"33.66296888950626, -96.61952763115761",https://goo.gl/maps/RsAFm5k2yTzFqtDe9
Fannin,Texoma Community Center,Position Available,Cooke-Fannin-Grayson,TBA,TBA,315 W. McClain - Sherman,Sherman,75093,"33.66296888950626, -96.61952763115761",https://goo.gl/maps/RsAFm5k2yTzFqtDe9
Grayson,Texoma Community Center,Position Available,Cooke-Fannin-Grayson,TBA,TBA,315 W. McClain - Sherman,Sherman,75093,"33.66296888950626, -96.61952763115761",https://goo.gl/maps/RsAFm5k2yTzFqtDe9
Bexar,The Center for Health Care Services,Gregory Morton,San Antonio,(210)685-8716,gmorton@chcsbc.org,6800 Park Ten Blvd,San Antonio,78201,"29.488299626410743, -98.54334870242465",https://goo.gl/maps/YJVAC39mUFYLgjbC9
Liberty,Tri-County Behavioral Healthcare,Shirley Uriostegui,Conroe Area,(936)521-6132,ShirleyU@tcbhc.org,233 Sgt Ed Holcomb - Conroe,Conroe,77304,"30.305269618966673, -95.48268683124117",https://goo.gl/maps/SVNgoSuEpxmWNxCdA
